id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,label
34,11,-0.0026,-0.0002,100,518.67,642.81,1594.28,1408.71,14.62,21.61,553.93,2388.08,9056.48,1.3,47.62,521.55,2388.08,8132.44,8.4251,0.03,393,2388,100,38.72,23.2583,0
34,12,-0.003,0,100,518.67,642.96,1580.19,1405.5,14.62,21.61,554.06,2388.05,9063.23,1.3,47.58,521.37,2388.11,8134.78,8.4601,0.03,391,2388,100,38.77,23.2702,0
34,13,-0.0006,-0.0001,100,518.67,641.8,1589.15,1406.61,14.62,21.61,554.03,2388.07,9066.11,1.3,47.23,521.28,2388.04,8140.99,8.4304,0.03,394,2388,100,38.88,23.3323,0
34,14,0.0005,0.0001,100,518.67,642.14,1589.91,1407.89,14.62,21.61,553.93,2388.09,9062.29,1.3,47.56,522.32,2388.1,8139.32,8.443,0.03,394,2388,100,38.8,23.2588,0
34,15,0.0023,0.0004,100,518.67,642.55,1593.95,1410.94,14.62,21.61,554.52,2388.03,9059.18,1.3,47.24,521.84,2388.12,8138.5,8.4345,0.03,394,2388,100,38.9,23.302,0
34,16,0.0016,0.0005,100,518.67,642.41,1582.81,1393.39,14.62,21.61,553.28,2388.09,9061.95,1.3,47.34,521.66,2388.06,8138.61,8.4385,0.03,393,2388,100,38.83,23.349,0
34,17,-0.0029,-0.0001,100,518.67,642.34,1582.9,1411.03,14.62,21.61,552.75,2388.09,9059.53,1.3,47.4,521.96,2388.09,8141.71,8.43,0.03,391,2388,100,38.85,23.4101,0
34,18,-0.0017,0.0002,100,518.67,642.16,1590.36,1406.15,14.62,21.61,553.35,2388.05,9051.31,1.3,47.25,522.21,2388.06,8133.08,8.4408,0.03,393,2388,100,38.71,23.2618,0
34,19,0.0016,0,100,518.67,642.81,1582.26,1407.36,14.62,21.61,554.11,2388.07,9062.65,1.3,47.48,521.71,2388.07,8144.16,8.4302,0.03,392,2388,100,38.86,23.304,0
34,20,0.0013,0.0005,100,518.67,642.8,1593.16,1411.01,14.62,21.61,553.86,2388.05,9054.32,1.3,47.3,522.18,2388.1,8137.77,8.4538,0.03,391,2388,100,38.87,23.2972,0
34,21,-0.0014,-0.0002,100,518.67,642.61,1595.56,1411.06,14.62,21.61,553.89,2388.08,9050.34,1.3,47.36,521.49,2388.07,8138.26,8.4209,0.03,393,2388,100,38.84,23.3097,0
34,22,-0.0025,0.0006,100,518.67,642.55,1597.6,1400.88,14.62,21.61,553.72,2388.04,9062.39,1.3,47.31,521.44,2388.07,8135.66,8.453,0.03,392,2388,100,38.88,23.2835,0
34,23,0.0002,-0.0002,100,518.67,642.62,1581.63,1399.94,14.62,21.61,553.26,2388.06,9056.45,1.3,47.38,522,2388.09,8140.03,8.4402,0.03,391,2388,100,38.9,23.394,0
34,24,0.0014,0.0006,100,518.67,642.81,1587.33,1407.67,14.62,21.61,553.41,2388.06,9062.28,1.3,47.54,521.17,2388.1,8141.39,8.4283,0.03,392,2388,100,38.91,23.3411,0
34,25,-0.0016,-0.0001,100,518.67,642.05,1595.39,1409.69,14.62,21.61,553.11,2388.16,9049.94,1.3,47.36,521.91,2388.06,8135.63,8.401,0.03,392,2388,100,38.82,23.1221,0
34,26,-0.0054,0.0006,100,518.67,642.77,1589.52,1399.66,14.62,21.61,554.17,2388.07,9062.43,1.3,47.37,521.89,2388.15,8139.21,8.427,0.03,393,2388,100,38.74,23.3325,0
34,27,-0.0005,-0.0001,100,518.67,642.68,1590.23,1409.37,14.62,21.61,554.33,2388.08,9058.08,1.3,47.66,521.7,2388.02,8138.23,8.4129,0.03,394,2388,100,38.98,23.358,0
34,28,-0.0005,0.0001,100,518.67,642.63,1592.38,1405.91,14.62,21.61,553.7,2388.08,9060.69,1.3,47.37,522,2388.07,8139.31,8.4308,0.03,392,2388,100,38.86,23.4111,0
34,29,0.0049,0.0004,100,518.67,642.19,1587.72,1405.95,14.62,21.61,554.04,2388.05,9051.73,1.3,47.52,521.75,2388.04,8135.5,8.4775,0.03,393,2388,100,38.89,23.3982,0
34,30,0.003,0.0003,100,518.67,642.39,1592.08,1413.57,14.62,21.61,554.3,2388.07,9064.83,1.3,47.3,521.87,2388.02,8137.81,8.4225,0.03,394,2388,100,38.9,23.3223,0
34,31,0.0033,0.0002,100,518.67,642.08,1587.7,1406.34,14.62,21.61,553.52,2388.11,9052.28,1.3,47.58,521.41,2388.1,8142.86,8.4347,0.03,392,2388,100,38.86,23.4244,0
34,32,-0.001,-0.0002,100,518.67,642.58,1588.79,1412.95,14.62,21.61,553.53,2388.02,9064.11,1.3,47.57,521.57,2388.06,8138.13,8.4352,0.03,392,2388,100,38.95,23.1939,0
34,33,-0.0023,0,100,518.67,642.22,1586.02,1400.52,14.62,21.61,554.39,2388.08,9055.78,1.3,47.33,521.65,2388.08,8142.24,8.4115,0.03,393,2388,100,38.79,23.2488,0
34,34,0.0038,-0.0001,100,518.67,642.45,1582.58,1405.64,14.62,21.61,553.91,2388.07,9056.63,1.3,47.37,521.54,2388.07,8137.42,8.4318,0.03,394,2388,100,38.8,23.3369,0
34,35,0.0001,0.0001,100,518.67,642.25,1593.06,1404.57,14.62,21.61,552.96,2388.1,9053.5,1.3,47.44,521.29,2388.04,8136.89,8.4296,0.03,393,2388,100,38.81,23.4492,0
34,36,0.0017,-0.0001,100,518.67,643.33,1584.04,1399,14.62,21.61,555.21,2388.1,9061.85,1.3,47.38,521.95,2388.04,8144.02,8.4243,0.03,392,2388,100,39.11,23.3295,0
34,37,-0.0013,0.0006,100,518.67,642.78,1588.01,1407.98,14.62,21.61,553.3,2388.07,9052.47,1.3,47.37,521.76,2388.13,8138.29,8.4321,0.03,393,2388,100,38.96,23.2246,0
34,38,0.0027,0.0002,100,518.67,642.81,1592.44,1404.47,14.62,21.61,553.97,2388.05,9062.28,1.3,47.71,521.79,2388.09,8145.18,8.4139,0.03,392,2388,100,38.82,23.2971,0
34,39,0.0048,-0.0004,100,518.67,642.52,1585.67,1404.37,14.62,21.61,553.18,2388.02,9060.39,1.3,47.39,521.56,2388.04,8137.56,8.4177,0.03,392,2388,100,38.82,23.3361,0
34,40,-0.0005,-0.0004,100,518.67,642.72,1588.38,1400.41,14.62,21.61,553.76,2388.05,9062.51,1.3,47.39,521.49,2388.07,8147.63,8.4386,0.03,393,2388,100,38.88,23.3154,0
34,41,0.0001,0.0003,100,518.67,641.78,1588.06,1400.25,14.62,21.61,553.73,2388.02,9055.12,1.3,47.34,521.72,2388.08,8139.01,8.4212,0.03,392,2388,100,39.09,23.2734,0
34,42,0.0025,0.0006,100,518.67,641.57,1587.67,1407.12,14.62,21.61,553.83,2388.07,9061.17,1.3,47.43,521.86,2388.07,8140.84,8.4427,0.03,393,2388,100,38.93,23.2725,0
34,43,0.0032,0.0004,100,518.67,642.4,1593.49,1407.26,14.62,21.61,553.64,2388.1,9058.17,1.3,47.41,521.74,2388.07,8139.37,8.4069,0.03,393,2388,100,38.96,23.3085,0
34,44,0.0016,-0.0002,100,518.67,642.74,1579.87,1402.52,14.62,21.61,554.25,2388.08,9059.87,1.3,47.43,521.58,2388.06,8137.86,8.4423,0.03,393,2388,100,39.07,23.3093,0
34,45,0.0047,-0.0001,100,518.67,642.9,1579.53,1407.75,14.62,21.61,554.15,2388.1,9060.95,1.3,47.52,521.8,2388.03,8136.11,8.4222,0.03,393,2388,100,38.93,23.2076,0
34,46,-0.0002,0.0004,100,518.67,642.85,1581.07,1413.07,14.62,21.61,553.68,2388.1,9057.01,1.3,47.42,521.83,2388.13,8142.22,8.4391,0.03,392,2388,100,38.85,23.2845,0
34,47,0.0003,-0.0003,100,518.67,642.39,1590.54,1406.22,14.62,21.61,553.94,2388.03,9066.25,1.3,47.34,521.62,2388.06,8141.14,8.4457,0.03,392,2388,100,38.96,23.38,0
34,48,-0.0028,0.0004,100,518.67,642.19,1585.97,1398.02,14.62,21.61,554.22,2388.1,9063.22,1.3,47.6,521.3,2388.09,8141.99,8.388,0.03,392,2388,100,38.87,23.2446,0
34,49,-0.0019,0.0001,100,518.67,642.19,1592.61,1407.11,14.62,21.6,553.72,2388.1,9051.07,1.3,47.43,521.13,2388.04,8138.07,8.4501,0.03,392,2388,100,38.89,23.4083,0
34,50,0.001,-0.0001,100,518.67,643.1,1586.32,1409.96,14.62,21.61,553.57,2388.08,9062.25,1.3,47.5,521.5,2388.12,8136.43,8.4074,0.03,393,2388,100,38.87,23.315,0
34,51,0.0022,-0.0001,100,518.67,642.32,1585.91,1404.25,14.62,21.61,552.8,2388.02,9068.73,1.3,47.52,521.61,2388.04,8139.62,8.4553,0.03,393,2388,100,38.95,23.2841,0
34,52,0.0006,-0.0004,100,518.67,642.74,1586.11,1402.05,14.62,21.61,553.77,2388.06,9058.26,1.3,47.24,521.86,2388.06,8138.45,8.4105,0.03,393,2388,100,38.93,23.3873,0
34,53,0.0009,0.0003,100,518.67,642.6,1593.38,1403.11,14.62,21.61,553.14,2388.07,9063.74,1.3,47.39,522.13,2388.08,8145.25,8.4292,0.03,393,2388,100,38.93,23.4019,0
34,54,-0.0015,0.0002,100,518.67,642.07,1595.68,1410.01,14.62,21.61,553.55,2388.1,9059.59,1.3,47.5,521.57,2388.09,8147.56,8.4226,0.03,394,2388,100,38.74,23.2064,0
34,55,-0.0002,-0.0003,100,518.67,642.62,1594.13,1405.19,14.62,21.61,553.49,2388.1,9053.94,1.3,47.48,521.67,2388.1,8140.26,8.4689,0.03,394,2388,100,38.9,23.2388,0
34,56,-0.0042,-0.0002,100,518.67,642.31,1589.15,1407.03,14.62,21.61,553.37,2388.06,9065.04,1.3,47.36,521.92,2388.07,8140.82,8.4042,0.03,393,2388,100,38.86,23.3543,0
34,57,-0.0016,0.0003,100,518.67,642.82,1585.1,1401.73,14.62,21.61,553.42,2388.1,9053.93,1.3,47.29,521.27,2388.03,8140.29,8.4528,0.03,392,2388,100,38.69,23.2589,0
34,58,-0.0024,-0.0001,100,518.67,642.18,1588.88,1398.02,14.62,21.61,553.9,2388.06,9065.76,1.3,47.34,521.9,2388.06,8140.36,8.4433,0.03,393,2388,100,38.88,23.3289,0
34,59,0.0023,-0.0001,100,518.67,642.4,1590.72,1399.68,14.62,21.61,553.86,2388.07,9059.63,1.3,47.37,521.22,2388.07,8144.52,8.3928,0.03,391,2388,100,38.79,23.4203,0
34,60,0.0008,0.0003,100,518.67,642.99,1591.46,1401.72,14.62,21.61,552.97,2388.06,9054.11,1.3,47.47,521.71,2388.05,8142.43,8.4031,0.03,394,2388,100,38.95,23.3458,0
34,61,0.003,-0.0003,100,518.67,642.1,1591.23,1406.89,14.62,21.61,553.46,2388.04,9067.36,1.3,47.4,521.75,2388.06,8145.49,8.4243,0.03,393,2388,100,38.74,23.3103,0
34,62,-0.0012,0.0006,100,518.67,642.56,1588.1,1407.27,14.62,21.61,553.64,2388.12,9059.44,1.3,47.41,521.65,2388.07,8138.17,8.4354,0.03,393,2388,100,38.79,23.3106,0
34,63,-0.0011,-0.0003,100,518.67,643.34,1590.64,1407.1,14.62,21.61,553.94,2388.08,9062.98,1.3,47.64,521.49,2388.09,8144.55,8.4264,0.03,393,2388,100,38.89,23.2826,0
34,64,-0.0022,-0.0001,100,518.67,642.97,1581.83,1407.09,14.62,21.61,553.1,2388.13,9055.8,1.3,47.32,521.62,2388.1,8141.82,8.442,0.03,392,2388,100,39.02,23.2584,0
34,65,0.0003,-0.0003,100,518.67,642.4,1586.04,1402.96,14.62,21.61,553.09,2388.08,9058.78,1.3,47.44,521.97,2388.08,8136.47,8.4349,0.03,391,2388,100,38.89,23.2628,0
34,66,-0.0005,-0.0003,100,518.67,642.38,1584.29,1397.86,14.62,21.61,553.67,2388.08,9062.45,1.3,47.44,521.59,2388.07,8141.22,8.4374,0.03,392,2388,100,38.68,23.374,0
34,67,0.0013,0.0002,100,518.67,642.49,1590.73,1405.53,14.62,21.61,554.62,2388.09,9063.96,1.3,47.33,521.51,2388.06,8142.46,8.4049,0.03,394,2388,100,38.75,23.418,0
34,68,0.002,0.0001,100,518.67,642.88,1586.2,1405.68,14.62,21.61,553.58,2388.08,9057.22,1.3,47.45,521.49,2388.02,8140.92,8.428,0.03,394,2388,100,38.85,23.2545,0
34,69,-0.0004,0.0001,100,518.67,642.94,1591.77,1404.64,14.62,21.61,553.97,2388.07,9058.9,1.3,47.34,522.06,2388.05,8140.16,8.3985,0.03,393,2388,100,38.86,23.3099,0
34,70,-0.0005,0,100,518.67,641.92,1598.08,1414.73,14.62,21.61,553.42,2388.08,9060.66,1.3,47.43,521.6,2388.07,8142.78,8.4133,0.03,394,2388,100,38.78,23.3579,0
34,71,-0.0021,0,100,518.67,642.49,1586.31,1399.19,14.62,21.61,553.9,2388.07,9054.54,1.3,47.66,521.68,2388.13,8150.68,8.4319,0.03,393,2388,100,38.77,23.314,0
34,72,0.001,-0.0002,100,518.67,642.28,1593.62,1406.23,14.62,21.61,552.75,2388.08,9057.63,1.3,47.54,521.63,2388.06,8143.26,8.4236,0.03,393,2388,100,38.91,23.2126,0
34,73,0.0019,0,100,518.67,642.41,1588.33,1411.6,14.62,21.61,553.61,2388.07,9064.08,1.3,47.33,521.94,2388.07,8146.94,8.4287,0.03,393,2388,100,38.73,23.2742,0
34,74,-0.0006,0.0001,100,518.67,642.78,1589.21,1402.95,14.62,21.61,554.46,2388.08,9065.82,1.3,47.37,521.94,2388.07,8141.76,8.4302,0.03,393,2388,100,38.79,23.3161,0
34,75,-0.0022,-0.0001,100,518.67,642.08,1594.52,1410.05,14.62,21.61,554.49,2388.04,9068.85,1.3,47.44,521.75,2388.06,8138.57,8.4445,0.03,394,2388,100,38.91,23.3479,0
34,76,-0.0042,0.0006,100,518.67,642.58,1587.11,1401.31,14.62,21.61,552.97,2388.07,9064.94,1.3,47.35,521.95,2388.09,8141.75,8.4375,0.03,392,2388,100,38.87,23.327,0
34,77,0.0009,0.0003,100,518.67,642.75,1594.03,1405.09,14.62,21.61,554.07,2388.17,9061.7,1.3,47.4,521.76,2388.04,8142.43,8.4298,0.03,392,2388,100,38.68,23.273,0
34,78,-0.0007,0.0001,100,518.67,642.96,1590.94,1403.74,14.62,21.61,553.81,2388.06,9064.17,1.3,47.44,521.82,2388.1,8143.41,8.4091,0.03,393,2388,100,38.77,23.3573,0
34,79,-0.0025,0.0002,100,518.67,642.26,1591.88,1404.2,14.62,21.61,552.7,2388.07,9070.36,1.3,47.55,521.71,2388.1,8139.21,8.4227,0.03,394,2388,100,38.8,23.2292,0
34,80,0.0034,0.0005,100,518.67,643.04,1598.38,1404.13,14.62,21.61,553.71,2388.12,9064.26,1.3,47.67,521.59,2388.09,8138.29,8.4409,0.03,393,2388,100,38.89,23.2893,0
34,81,0.003,-0.0002,100,518.67,642.49,1582.83,1411.27,14.62,21.61,553.95,2388.06,9066.46,1.3,47.61,522.29,2388.1,8139.31,8.4641,0.03,392,2388,100,38.73,23.3494,0
34,82,0.0028,0,100,518.67,642.2,1588.4,1409.52,14.62,21.61,553.53,2388.1,9065.08,1.3,47.48,521.58,2388.02,8143.99,8.4196,0.03,394,2388,100,38.73,23.2784,0
34,83,-0.0018,0.0006,100,518.67,642.78,1597.1,1411.81,14.62,21.61,554.64,2388.09,9058.95,1.3,47.52,521.57,2388.07,8142.37,8.4305,0.03,392,2388,100,38.78,23.4206,0
34,84,-0.0033,0.0002,100,518.67,642.66,1590.94,1407.45,14.62,21.61,553.33,2388.1,9068.49,1.3,47.58,521.3,2388.12,8140.33,8.428,0.03,391,2388,100,38.88,23.2912,0
34,85,0.0028,-0.0002,100,518.67,642.91,1591.24,1413.17,14.62,21.61,552.67,2388.06,9067.16,1.3,47.55,521.62,2388.09,8139.69,8.4133,0.03,393,2388,100,38.8,23.3607,0
34,86,0.0002,-0.0003,100,518.67,642.93,1593.41,1404.76,14.62,21.61,553.08,2388.03,9061.23,1.3,47.55,521.17,2388.11,8144.34,8.4346,0.03,393,2388,100,38.81,23.3333,0
34,87,0.0005,0.0002,100,518.67,642.27,1587.08,1399.25,14.62,21.61,553.65,2388.07,9057.03,1.3,47.45,521.74,2388.08,8147.82,8.4464,0.03,394,2388,100,38.8,23.3282,0
34,88,0.0042,0.0006,100,518.67,642.04,1586.72,1409.98,14.62,21.61,553.07,2388.05,9063.23,1.3,47.45,521.93,2388.07,8143.71,8.4273,0.03,393,2388,100,38.97,23.3775,0
34,89,0.0006,0.0001,100,518.67,642.87,1587.07,1410.57,14.62,21.61,553.01,2388.11,9065.22,1.3,47.46,521.01,2388.12,8143.09,8.4264,0.03,394,2388,100,38.76,23.4224,0
34,90,-0.0009,-0.0003,100,518.67,643.01,1585.65,1407.77,14.62,21.61,553.99,2388.1,9066.19,1.3,47.48,521.27,2388.08,8148.4,8.4146,0.03,393,2388,100,38.9,23.3544,0
34,91,-0.0001,0.0003,100,518.67,642.17,1585.98,1406.98,14.62,21.61,553.32,2388.07,9062.96,1.3,47.76,521.94,2388.07,8147.51,8.4306,0.03,394,2388,100,38.83,23.4003,0
34,92,-0.0043,0.0005,100,518.67,642.33,1585.98,1407.92,14.62,21.61,553.48,2388.07,9067.05,1.3,47.5,521.46,2388,8147.87,8.429,0.03,393,2388,100,38.73,23.2569,0
34,93,0.0057,0.0003,100,518.67,642.27,1584.96,1413.55,14.62,21.61,553.3,2388.12,9070.81,1.3,47.34,521.77,2388.02,8147.38,8.4549,0.03,395,2388,100,38.74,23.218,0
34,94,-0.0019,0.0002,100,518.67,642.12,1588.32,1410.49,14.62,21.61,553.27,2388.08,9073.59,1.3,47.53,521.85,2388,8138.85,8.4165,0.03,392,2388,100,38.93,23.2349,0
34,95,0.0013,-0.0003,100,518.67,643,1589.67,1405.43,14.62,21.61,553.95,2388,9064.19,1.3,47.43,521.45,2388.09,8146.89,8.437,0.03,393,2388,100,38.82,23.3666,0
34,96,0,0.0005,100,518.67,642.32,1591.4,1408.72,14.62,21.61,553.36,2388.05,9071.29,1.3,47.43,521.81,2388.04,8140.98,8.4093,0.03,394,2388,100,38.79,23.3088,0
34,97,0.0032,0.0003,100,518.67,642.39,1589.47,1412.55,14.62,21.61,553.68,2388.03,9066.36,1.3,47.43,521.37,2388.08,8144.26,8.4534,0.03,393,2388,100,38.92,23.2416,0
34,98,0.0032,-0.0001,100,518.67,642.56,1591,1408.27,14.62,21.61,553.66,2388.1,9060.41,1.3,47.42,521.09,2388.08,8140.63,8.4414,0.03,394,2388,100,38.71,23.2201,0
34,99,0,-0.0003,100,518.67,642.43,1587.86,1404.24,14.62,21.61,553.28,2388.11,9069.36,1.3,47.42,522.19,2388.07,8148.2,8.4527,0.03,392,2388,100,38.93,23.3279,0
34,100,0.0011,0.0004,100,518.67,643.23,1588.09,1410.34,14.62,21.61,553.75,2388.02,9068.8,1.3,47.6,522,2388.06,8152.58,8.47,0.03,393,2388,100,38.68,23.3118,0
34,101,0.0011,-0.0003,100,518.67,642.4,1590.5,1415.84,14.62,21.61,552.62,2388.06,9068.28,1.3,47.5,521.29,2388.12,8147.03,8.4784,0.03,394,2388,100,38.93,23.3211,0
34,102,0.0014,0.0005,100,518.67,643.24,1595.19,1401.75,14.62,21.61,553.1,2388.05,9065.03,1.3,47.74,521.37,2388.06,8149.31,8.4333,0.03,392,2388,100,38.8,23.3329,0
34,103,-0.0012,0.0002,100,518.67,642.88,1588.28,1406.05,14.62,21.61,553.76,2388.05,9059.6,1.3,47.49,521.19,2388.09,8142.01,8.4568,0.03,392,2388,100,38.98,23.2256,0
34,104,0.0026,-0.0001,100,518.67,642.63,1587.95,1411.39,14.62,21.61,552.92,2388.08,9065.82,1.3,47.63,521.38,2388.09,8142.93,8.422,0.03,393,2388,100,38.74,23.2705,0
34,105,0.0006,0.0001,100,518.67,642.86,1592.18,1413.81,14.62,21.61,553.22,2388.08,9065.37,1.3,47.62,521.39,2388.09,8144.35,8.4337,0.03,393,2388,100,38.68,23.2611,0
34,106,-0.0034,0.0004,100,518.67,643.05,1595.62,1408.83,14.62,21.61,553.27,2388.07,9076.74,1.3,47.5,520.84,2388.11,8144.17,8.4548,0.03,392,2388,100,38.82,23.341,0
34,107,0.0015,-0.0002,100,518.67,642.75,1594.66,1411.37,14.62,21.61,553.69,2388.1,9065.19,1.3,47.6,521.33,2388.11,8148.43,8.41,0.03,392,2388,100,38.83,23.1518,0
34,108,0.0035,0.0004,100,518.67,642.71,1590.01,1401.82,14.62,21.61,553.24,2388.12,9070.67,1.3,47.44,521.53,2388.15,8145.15,8.4084,0.03,394,2388,100,38.7,23.2632,0
34,109,-0.0012,-0.0004,100,518.67,642.47,1587.34,1402.53,14.62,21.61,553.19,2388.11,9067.14,1.3,47.53,521.7,2388.06,8145.41,8.4547,0.03,393,2388,100,38.82,23.1446,0
34,110,0.0024,0,100,518.67,642.92,1595.45,1403.2,14.62,21.61,552.9,2388.06,9073.36,1.3,47.46,521.25,2388.06,8148.33,8.4324,0.03,393,2388,100,38.88,23.2356,0
34,111,0.001,0.0003,100,518.67,642.67,1594.25,1406.57,14.62,21.61,552.62,2388.1,9075.09,1.3,47.51,521.46,2388.1,8149.33,8.47,0.03,393,2388,100,38.96,23.1901,0
34,112,0.001,0.0004,100,518.67,642.2,1591.06,1410.34,14.62,21.61,553.65,2388.13,9071.46,1.3,47.64,521.86,2388.07,8150.18,8.4176,0.03,393,2388,100,38.92,23.2321,0
34,113,-0.0004,0.0004,100,518.67,642.5,1586.36,1414.49,14.62,21.61,553.21,2388.03,9072.8,1.3,47.62,521.13,2388.1,8144.65,8.4723,0.03,394,2388,100,38.7,23.3738,0
34,114,0.0033,0,100,518.67,642.58,1594.94,1411.57,14.62,21.61,553.45,2388.1,9072.99,1.3,47.57,521.21,2388.02,8148.42,8.4354,0.03,392,2388,100,38.66,23.3156,0
34,115,0.0018,0.0002,100,518.67,642.17,1588.34,1411.36,14.62,21.61,553.72,2388.12,9076.91,1.3,47.4,521.74,2388.06,8148.07,8.4453,0.03,394,2388,100,38.73,23.3623,0
34,116,0.0014,0.0004,100,518.67,642.77,1589,1404.91,14.62,21.61,553.69,2388.07,9078.16,1.3,47.48,521.52,2388.11,8154.4,8.4516,0.03,394,2388,100,38.92,23.2053,0
34,117,0.001,0,100,518.67,642.89,1587.05,1407.67,14.62,21.61,554.07,2388.03,9069.94,1.3,47.49,521.19,2388.07,8148.84,8.4173,0.03,393,2388,100,38.71,23.2901,0
34,118,-0.0018,0.0001,100,518.67,642.34,1587.17,1413.98,14.62,21.61,553.25,2388.1,9078.15,1.3,47.4,521.03,2388.04,8147.59,8.4525,0.03,392,2388,100,38.82,23.331,0
34,119,0.0029,0.0001,100,518.67,642.8,1589.61,1406.24,14.62,21.61,553.78,2388.07,9070.58,1.3,47.54,521.15,2388.09,8149.37,8.4605,0.03,394,2388,100,38.63,23.2639,0
34,120,-0.0008,-0.0001,100,518.67,642.9,1588.23,1411.91,14.62,21.61,553.78,2388.09,9073.56,1.3,47.53,521.09,2388.08,8156.12,8.4694,0.03,394,2388,100,38.76,23.2153,0
34,121,-0.0017,0.0005,100,518.67,642.94,1594.26,1404.87,14.62,21.61,553.55,2388.12,9075.59,1.3,47.51,521.33,2388.15,8147.5,8.4411,0.03,395,2388,100,38.98,23.3351,0
34,122,0.0008,0.0004,100,518.67,643.33,1590.47,1405.9,14.62,21.61,553.41,2388.14,9078.05,1.3,47.64,521.26,2388.06,8149.53,8.4579,0.03,394,2388,100,38.94,23.2889,0
34,123,0.0028,0.0004,100,518.67,642.86,1593.34,1404.13,14.62,21.61,553.83,2388.11,9069.99,1.3,47.55,521.49,2388.11,8149.89,8.4807,0.03,394,2388,100,38.62,23.1041,0
34,124,-0.0054,-0.0004,100,518.67,642.59,1599.05,1407.12,14.62,21.61,552.65,2388.16,9078.77,1.3,47.48,521.27,2388.12,8149.39,8.4463,0.03,393,2388,100,38.88,23.3437,0
34,125,0.0013,0.0004,100,518.67,642.6,1586.42,1415.65,14.62,21.61,552.38,2388.07,9071.16,1.3,47.56,521.3,2388.06,8156.92,8.4469,0.03,393,2388,100,38.91,23.1779,0
34,126,-0.0025,-0.0003,100,518.67,642.5,1595.22,1407.99,14.62,21.61,553.7,2388.04,9077.15,1.3,47.48,521.06,2388.03,8152.88,8.454,0.03,395,2388,100,38.9,23.3216,0
34,127,-0.0027,0.0005,100,518.67,642.24,1595.09,1410.51,14.62,21.61,552.94,2388.07,9085.29,1.3,47.53,521.3,2388.11,8151.79,8.4298,0.03,392,2388,100,38.83,23.2812,0
34,128,-0.0031,-0.0001,100,518.67,642.85,1597.51,1414.31,14.62,21.61,552.44,2388.08,9072.89,1.3,47.73,521.36,2388.12,8154.11,8.4636,0.03,393,2388,100,38.79,23.2286,0
34,129,-0.0002,0.0001,100,518.67,642.57,1587.44,1416.4,14.62,21.61,553.63,2388.11,9084.62,1.3,47.6,521.13,2388.09,8150.92,8.4601,0.03,392,2388,100,38.75,23.2974,0
34,130,0.0029,-0.0003,100,518.67,643.1,1589.41,1413.81,14.62,21.61,553.03,2388.14,9081.13,1.3,47.48,521.37,2388.11,8158.11,8.4386,0.03,394,2388,100,39.16,23.2703,0
34,131,0.0003,0,100,518.67,642.88,1591.29,1410.87,14.62,21.61,553.38,2388.07,9079.25,1.3,47.46,521.59,2388.09,8162.95,8.4702,0.03,393,2388,100,38.63,23.1323,0
